wincol,name,strikes,takedowns,subattempts,pospass,weightclass,result,round,time,score
1,ALEX OLIVEIRA,58,2,0,1,Welterweight,U-DEC,3,5:00,58
0,JAMES MOONTASRI,12,0,0,0,Welterweight,U-DEC,3,5:00,6
0,ALEX OLIVEIRA,14,0,0,0,Welterweight,SUB,1,2:33,7
1,DONALD CERRONE,4,1,1,2,Welterweight,SUB,1,2:33,104
1,ALEX OLIVEIRA,42,0,0,1,Lightweight,KO/TKO,3,0:51,71
0,PIOTR HALLMANN,36,1,0,1,Lightweight,KO/TKO,3,0:51,20
1,ALEX OLIVEIRA,11,5,2,6,Welterweight,U-DEC,3,5:00,40.5
0,JOE MERRITT,23,0,0,1,Welterweight,U-DEC,3,5:00,11.5
1,ALEX OLIVEIRA,3,3,1,2,Welterweight,SUB,1,2:51,107.5
0,KJ NOONS,7,0,0,0,Welterweight,SUB,1,2:51,3.5
0,ALEX OLIVEIRA,29,0,0,0,Lightweight,SUB,3,4:14,14.5
1,GILBERT BURNS,17,2,2,2,Lightweight,SUB,3,4:14,62.5
