"name","ou"
"JOHN LINEKER","+101"
"JOHN DODSON","-121"
"ALEX OLIVEIRA","+225"
"WILL BROOKS","-270"
"BRANDON MORENO","+327"
"LOUIS SMOLKA","-402"
"ZAK OTTOW","+195"
"JOSH BURKMAN","-235"
"JOACHIM CHRISTENSEN","+105"
"LUIS HENRIQUE DA SILVA","-125"
"ANDRE FILI","+150"
"HACRAN DIAS","-175"
"WALT HARRIS","+105"
"SHAMIL ABDURAKHIMOV","-125"
"ELIZEU ZALESKI DOS SANTOS","+105"
"KEITA NAKAMURA","-125"
"NATE MARQUARDT","+175"
"TAMDAN MCCRORY","-205"
"JONATHAN WILSON","+131"
"ION CUTELABA","-156"
"CODY EAST","+190"
"CURTIS BLAYDES","-235"
"KELLY FASZHOLZ","-115"
"KETLEN VIEIRA","-105"
"DAN HENDERSON","+190"
"MICHAEL BISPING","-230"
"GEGARD MOUSASI","-350"
"VITOR BELFORT","+275"
"JIMI MANUWA","+140"
"OVINCE ST. PREUX","-165"
"RICARDO LAMAS","-340"
"DERRICK LEWIS","-180"
"MARCIN TYBURA","+150"
"ALI BAGAUTINOV","+167"
"KYOJI HORIGUCHI","-203"
"COLE MILLER","+100"
"MIZUTO HIROTA","-120"
"TONY FERGUSON","+120"
"RAFAEL DOS ANJOS","-140"
"DIEGO SANCHEZ","+175"
"MARCIN HELD","-210"
"BENEIL DARIUSH","+160"
"RASHID MAGOMEDOV","-187"
"ALEXA GRASSO","-400"
"HEATHER JO CLARK","+315"
"ERIK PEREZ","-205"
"FELIPE ARANTES","+170"
"EDDIE ALVAREZ","+125"
"CONOR MCGREGOR","-145"
"TYRON WOODLEY","+150"
"STEPHEN THOMPSON","-175"
"KAROLINA KOWALKIEWICZ","+270"
"JOANNA JEDRZEJCZYK","-330"
"YOEL ROMERO","+140"
"CHRIS WEIDMAN","-165"
"RASHAD EVANS","+180"
"TIM KENNEDY","-220"
"DONALD CERRONE","-170"
"KELVIN GASTELUM","+140"
"LUKE ROCKHOLD","-127"
"RONALDO SOUZA","+106"
