"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"F","Louis Smolka",9400,"Moreno@Smolka 07:15PM ET",101.083,"Smolka"
"F","Henrique da Silva",9200,"Christensen@da Silva 07:15PM ET",121.500,"da Silva"
"F","Will Brooks",9000,"Brooks@Oliveira 07:15PM ET",78.000,"Brooks"
"F","Joshua Burkman",8900,"Burkman@Ottow 07:15PM ET",50.867,"Burkman"
"F","Walt Harris",8800,"Abdurakhimov@Harris 07:15PM ET",39.000,"Harris"
"F","Ion Cutelaba",8700,"Cutelaba@Wilson 07:15PM ET",15.000,"Cutelaba"
"F","Kelly Faszholz",8600,"Faszholz@Vieira 07:15PM ET",38.000,"Faszholz"
"F","Hacran Dias",8500,"Dias@Fili 07:15PM ET",50.833,"Dias"
"F","Keita Nakamura",8400,"Nakamura@Zaleski dos Santos 07:15PM ET",53.333,"Nakamura"
"F","Curtis Blaydes",8300,"Blaydes@East 07:15PM ET",25.000,"Blaydes"
"F","Tamdan McCrory",8200,"Marquardt@McCrory 07:15PM ET",56.750,"McCrory"
"F","John Dodson",8100,"Dodson@Lineker 07:15PM ET",84.056,"Dodson"
"F","John Lineker",8100,"Dodson@Lineker 07:15PM ET",89.455,"Lineker"
"F","Nate Marquardt",8000,"Marquardt@McCrory 07:15PM ET",62.190,"Marquardt"
"F","Cody East",7900,"Blaydes@East 07:15PM ET",13.000,"East"
"F","Elizeu Zaleski dos Santos",7800,"Nakamura@Zaleski dos Santos 07:15PM ET",62.750,"Zaleski dos Santos"
"F","Andre Fili",7700,"Dias@Fili 07:15PM ET",60.250,"Fili"
"F","Ketlen Vieira",7600,"Faszholz@Vieira 07:15PM ET",0,"Vieira"
"F","Jonathan Wilson",7500,"Cutelaba@Wilson 07:15PM ET",75.000,"Wilson"
"F","Shamil Abdurakhimov",7400,"Abdurakhimov@Harris 07:15PM ET",32.750,"Abdurakhimov"
"F","Zak Ottow",7300,"Burkman@Ottow 07:15PM ET",0,"Ottow"
"F","Alex Oliveira",7200,"Brooks@Oliveira 07:15PM ET",60.583,"Oliveira"
"F","Joachim Christensen",7000,"Christensen@da Silva 07:15PM ET",0,"Christensen"
"F","Brandon Moreno",6800,"Moreno@Smolka 07:15PM ET",0,"Moreno"
